Total Value,Parcel ID,Map Number,Property   Location ,Township ,Land Use,Property Class,Land Area (acreage),Neighborhood Code,Zoning,Legal Desc,Utilities1,Utilities2,Utilities3
"$2,130",03.14C.3.82,03634502769711,SUNSHINE LN,Coolbaugh,912-Non-Perk,9-Taxable,.28,03R10,R-3,LOT 228 SEC G I,8-Electric,-,-
"$20,990",03.14C.3.84,03634502767749,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 230 SEC GI,8-Electric,-,-
"$21,250",03.14C.3.87,03634502863565,SUNSHINE LN,Coolbaugh,913-Developments,9-Taxable,.28,03R10,R-3,LOT 409 SEC G I,8-Electric,-,-
"$21,520",03.14C.3.88,03634502864532,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 408 SEC G1,8-Electric,-,-
"$22,310",03.14C.3.89,03634502865583,SUNSHINE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R10,R-3,LOT 406 SEC G I,8-Electric,-,-
"$2,350",03.14C.3.90,03634502867505,SUNSHINE LN,Coolbaugh,912-Non-Perk,9-Taxable,.38,03R10,R-3,LOT 405 SEC G I,8-Electric,-,-
"$2,130",03.14C.3.93,03634502865775,HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 402 SEC GI,8-Electric,-,-
"$20,990",03.14C.3.94,03634502865822,WHISPER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 401 SEC G I,8-Electric,-,-
"$23,500",03.14D.1.103,03634604519221,OSPREY LN,Coolbaugh,911-Undevelped Land,9-Taxable,.38,03R10,R-3,LOT 610 SEC E,6-Septic,5-WELL,8-Electric
"$23,230",03.14D.1.104,03634604515853,AZALEA DR,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 506 SEC E,6-Septic,5-WELL,8-Electric
"$23,630",03.14D.1.109,03634604519004,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.39,03R10,R-3,LOT 612 SEC E,6-Septic,5-WELL,8-Electric
"$28,120",03.14D.1.117,03634502698292,FOREST LN,Coolbaugh,911-Undevelped Land,9-Taxable,.73,03R10,R-3,"LOTS 1101,1102 SEC E",8-Electric,-,-
"$2,260",03.14D.1.123,03634502694597,WILD TURKEY WAY,Coolbaugh,912-Non-Perk,9-Taxable,.33,03R10,R-3,LOT 320 SEC E,8-Electric,-,-
"$23,500",03.14D.1.128,03634604602123,WILD TURKEY WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.38,03R10,R-3,LOT 312 SEC E,6-Septic,5-WELL,8-Electric
"$28,910",03.14D.1.129,03634604507440,WILD TURKEY WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.79,03R10,R-3,LOTS 304 & 305 SEC E,6-Septic,5-WELL,8-Electric
"$23,230",03.14D.1.151,03634604625234,CHICKADEE DR,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 1008 SEC E,6-Septic,5-WELL,8-Electric
"$18,350",03.14D.1.160,03634604604178,WILD TURKEY WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.17,03R10,R-3,LOT 921 SEC E,1-All Public,-,-
"$24,020",03.14D.1.162,03634604507625,WILD TURKEY WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.42,03R10,R-3,LOT 817 SEC E,6-Septic,5-WELL,8-Electric
"$23,100",03.14D.1.163,03634604508604,WILD TURKEY WAY,Coolbaugh,911-Undevelped Land,9-Taxable,.35,03R10,R-3,LOT 816 SEC E,6-Septic,5-WELL,8-Electric
"$2,310",03.14D.1.164,03634604508684,WILD TURKEY WAY,Coolbaugh,912-Non-Perk,9-Taxable,.35,03R10,R-3,LOT 815 SEC E,6-Septic,5-WELL,8-Electric
"$23,230",03.14D.1.172,03634502697940,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 911 SEC E,8-Electric,-,-
"$23,360",03.14D.1.91,03634604605471,SYLVAN LN,Coolbaugh,911-Undevelped Land,9-Taxable,.37,03R10,R-3,LOT 904 SEC E,1-All Public,-,-
"$23,230",03.14D.1.99,03634604504641,FIR LN,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 221 SEC E,6-Septic,5-WELL,8-Electric
"$20,990",03.14E.1.130,03634502981122,382 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 1623 SEC G IV,8-Electric,3-PUBLIC SEWER,5-WELL
"$22,570",03.14E.1.151,03634502995007,1158 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 1909 SEC GIV,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.155,03634502986921,2212 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 2003 SEC G4,8-Electric,3-PUBLIC SEWER,-
"$23,890",03.14E.1.177,03634502986072,3164 LEISURE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.41,03R10,R-3,LOT 1809 SEC G IV,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.192,03634502988381,5188 LEISURE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 1710 SEC G4,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.204,03635501071683,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 124 SEC GIII,8-Electric,5-WELL,3-PUBLIC SEWER
"$22,570",03.14E.1.216,03635501080607,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 136 SEC GV,8-Electric,3-PUBLIC SEWER,-
"$22,840",03.14E.1.217,03635501080800,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 137 SEC G V,8-Electric,3-PUBLIC SEWER,-
"$23,230",03.14E.1.219,03634502999040,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 139 SEC G V,8-Electric,-,-
"$22,840",03.14E.1.221,03634502987875,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 2006 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.223,03634502988627,WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 2008 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$22,040",03.14E.1.224,03634502986791,WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R10,R-3,LOT 2009 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$21,520",03.14E.1.225,03634502986629,WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 2010 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$21,520",03.14E.1.228,03634502988545,WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 1713 SEC G V,8-Electric,3-PUBLIC SEWER,-
"$21,780",03.14E.1.229,03634502987530,WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 1714 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$21,780",03.14E.1.230,03634502986449,3147 WILDERNESS RD,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 1715 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$23,100",03.14E.1.231,03634502985469,3147 WILDERNESS RD,Coolbaugh,913-Developments,9-Taxable,.35,03R10,R-3,LOT 1716 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$23,230",03.14E.1.233,03634502984324,3147 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 1718 SEC G5,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.27,03634502970440,2147 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 1018 SEC G3,8-Electric,3-PUBLIC SEWER,-
"$20,990",03.14E.1.31,03634502864949,341 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 1202 SEC G III,8-Electric,-,-
"$20,990",03.14E.1.36,03634502873328,357 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 1207 SEC G III,8-Electric,-,-
"$25,870",03.14E.1.39,03634502873822,365 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.56,03R10,R-3,LOT 1302 SEC G III,8-Electric,-,-
"$21,520",03.14E.1.42,03634502883198,377 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 1307 SEC GIII,8-Electric,-,-
"$20,990",03.14E.1.45,03634502884494,397 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 1403 SEC G4,8-Electric,-,-
"$21,250",03.14E.1.54,03634502897164,421 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 1413A SEC G,8-Electric,3-PUBLIC SEWER,-
"$23,760",03.14E.1.56,03634502898301,433 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.40,03R10,R-3,LOT 1413 SEC G,8-Electric,3-PUBLIC SEWER,-
"$21,520",03.14E.1.59,03634502898399,433 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 1414 SEC G IV,8-Electric,3-PUBLIC SEWER,-
"$21,250",03.14E.1.6,03634502883160,433 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 1306 SEC G,8-Electric,3-PUBLIC SEWER,-
"$25,610",03.14E.1.7,03634502976675,SUNSET DR,Coolbaugh,911-Undevelped Land,9-Taxable,.54,03R10,R-3,LOT 808 SEC G,8-Electric,3-PUBLIC SEWER,-
"$21,520",03.14E.1.80,03634502875347,1146 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 1105 SEC G III,8-Electric,-,-
"$21,250",03.14E.1.9,03634502883042,1165 HEMLOCK DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 1305 SEC G III,8-Electric,-,-
"$11,550",03.14E.2.10,03634502794187,FERN DR,Coolbaugh,913-Developments,9-Taxable,.35,03R10,R-3,LOT 41 SEC K,9-None,-,-
"$10,760",03.14E.2.11,03634502795006,FERN DR,Coolbaugh,913-Developments,9-Taxable,.29,03R10,R-3,LOT 40 SEC K,9-None,-,-
"$9,830",03.14E.2.12,03634502785917,FERN,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 39 SEC K,9-None,-,-
"$9,700",03.14E.2.13,03634502785910,FERN DR,Coolbaugh,913-Developments,9-Taxable,.21,03R10,R-3,LOT 38 SEC K,9-None,-,-
"$9,970",03.14E.2.14,03634502785822,FERN DR,Coolbaugh,913-Developments,9-Taxable,.23,03R10,R-3,LOT 37 SEC K,9-None,-,-
"$9,830",03.14E.2.15,03634502785735,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 36 SEC K,9-None,-,-
"$10,230",03.14E.2.16,03634502785637,FERN DR,Coolbaugh,913-Developments,9-Taxable,.25,03R10,R-3,LOT 35 SEC K,9-None,-,-
"$9,970",03.14E.2.17,03634502785650,FERN DR,Coolbaugh,913-Developments,9-Taxable,.23,03R10,R-3,LOT 34 SEC K,9-None,-,-
"$9,970",03.14E.2.18,03634502784401,FERN DR,Coolbaugh,913-Developments,9-Taxable,.23,03R10,R-3,LOT 33 SEC K,9-None,-,-
"$11,290",03.14E.2.2,03634502890517,DEER LN,Coolbaugh,913-Developments,9-Taxable,.33,03R10,R-3,LOT 49 SEC K,9-None,-,-
"$1,970",03.14E.2.20,03634502783680,FERN DR,Coolbaugh,912-Non-Perk,9-Taxable,.22,03R10,R-3,LOT 31 SEC K,9-None,-,-
"$1,970",03.14E.2.21,03634502783678,FERN DR,Coolbaugh,912-Non-Perk,9-Taxable,.22,03R10,R-3,LOT 30 SEC K,9-None,-,-
"$9,970",03.14E.2.22,03634502783774,FERN DR,Coolbaugh,913-Developments,9-Taxable,.23,03R10,R-3,LOT 29 SEC K,9-None,-,-
"$9,830",03.14E.2.23,03634502783862,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 28 SEC K,9-None,-,-
"$9,830",03.14E.2.24,03634502783849,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 27 SEC K,9-None,-,-
"$9,830",03.14E.2.25,03634502783937,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 26 SEC K,9-None,-,-
"$9,830",03.14E.2.26,03634502793034,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 25 SEC K,9-None,-,-
"$9,830",03.14E.2.31,03634502795374,FERN DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 20 SEC K,9-None,-,-
"$12,410",03.14E.2.33,03634502797457,FERN DR,Coolbaugh,913-Developments,9-Taxable,.48,03R10,R-3,LOT 18 SEC K,9-None,-,-
"$11,150",03.14E.2.35,03634502795572,DEER LN,Coolbaugh,913-Developments,9-Taxable,.32,03R10,R-3,LOT 16 SEC K,9-None,-,-
"$10,360",03.14E.2.37,03634502794627,DEER LN,Coolbaugh,913-Developments,9-Taxable,.26,03R10,R-3,LOT 14 SEC K,9-None,-,-
"$10,630",03.14E.2.38,03634502795722,DEER LN,Coolbaugh,913-Developments,9-Taxable,.28,03R10,R-3,LOT 13 SEC K,9-None,-,-
"$10,630",03.14E.2.40,03634502796781,DEER LN,Coolbaugh,913-Developments,9-Taxable,.28,03R10,R-3,LOT 11 SEC K,9-None,-,-
"$12,010",03.14E.2.42,03634502798774,DEER LN,Coolbaugh,913-Developments,9-Taxable,.42,03R10,R-3,LOT 9 SEC K,9-None,-,-
"$11,290",03.14E.2.43,03634502799749,DEER LN,Coolbaugh,913-Developments,9-Taxable,.33,03R10,R-3,LOT 8 SEC K,9-None,-,-
"$10,360",03.14E.2.45,03634604702011,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.26,03R10,R-3,LOT 4 SEC K,1-All Public,-,-
"$9,830",03.14E.2.46,03634604701099,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 3 SEC K,1-All Public,-,-
"$9,830",03.14E.2.47,03634604701196,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 2 SEC K,1-All Public,-,-
"$9,830",03.14E.2.48,03634604701283,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 1 SEC K,1-All Public,-,-
"$9,700",03.14E.2.49,03634604703255,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.21,03R10,R-3,LOT 7 SEC K,1-All Public,-,-
"$9,830",03.14E.2.50,03634604703168,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 6 SEC K,1-All Public,-,-
"$11,150",03.14E.2.6,03634502799314,FERN DR,Coolbaugh,913-Developments,9-Taxable,.32,03R10,R-3,LOT 45 SEC K,9-None,-,-
"$10,230",03.14E.2.9,03634502795199,FERN DR,Coolbaugh,913-Developments,9-Taxable,.25,03R10,R-3,LOT 42 SEC K,9-None,-,-
"$21,250",03.14F.1.64,03634502995963,2319 VACATION LN,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 2210 SEC H 1,8-Electric,3-PUBLIC SEWER,-
"$22,570",03.14F.2.123,03634604931309,364 SIDNEY AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 2444 SEC H III,1-All Public,-,-
"$21,520",03.14F.2.131,03634604827937,241 WALNUT AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 2636 SEC H III,1-All Public,-,-
"$22,840",03.14F.2.132,03634604826955,241 BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 2635 SEC H III,1-All Public,-,-
"$22,040",03.14F.2.133,03634604825855,BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R10,R-3, ,1-All Public,-,-
"$22,310",03.14F.2.134,03634604823678,BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R10,R-3,LOT 2633 SEC H III,1-All Public,-,-
"$2,180",03.14F.2.136,03634604822573,634 BIRCH LN,Coolbaugh,912-Non-Perk,9-Taxable,.30,03R10,R-3,LOT 2631 SEC H III,1-All Public,-,-
"$20,990",03.14F.2.137,03634604822404,634 BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2630 SEC H III,1-All Public,-,-
"$21,780",03.14F.2.144,03634604826724,631 BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 2804 SEC H III,1-All Public,-,-
"$21,520",03.14F.2.145,03634604827738,631 BIRCH LN,Coolbaugh,911-Undevelped Land,9-Taxable,.29,03R10,R-3,LOT 2805 SEC H III,1-All Public,-,-
"$21,250",03.14F.2.156,03634604828496,513 HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 2713 SEC H III,1-All Public,-,-
"$10,890",03.14F.2.174,03634604823950,HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 4001 OUT LOT,1-All Public,-,-
"$11,150",03.14F.2.175,03634604824907,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R10,R-3,LOT 4002 OUT LOT,1-All Public,-,-
"$11,420",03.14F.2.176,03634604834033,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 4003 OUT LOT,1-All Public,-,-
"$11,620",03.14F.2.177,03634604834089,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.36,03R10,R-3,LOT 4004 OUT LOT,1-All Public,-,-
"$11,420",03.14F.2.178,03634604835136,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 4005 OUT LOT,1-All Public,-,-
"$20,720",03.14F.2.179,03634604835236,EAGLE PL,Coolbaugh,913-Developments,9-Taxable,.26,03R10,R-3,LOT 4006 OUT LOT,1-All Public,-,-
"$10,360",03.14F.2.180,03634604833222,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R10,R-3,LOT 4007 OUT LOT,1-All Public,-,-
"$11,290",03.14F.2.181,03634604832157,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 4008 OUT LOT,1-All Public,-,-
"$11,290",03.14F.2.182,03634604832111,EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.33,03R10,R-3,LOT 4009 OUT LOT,1-All Public,-,-
"$21,780",03.14F.2.183,03634604831064,HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 4010 OUT LOT,1-All Public,-,-
"$23,630",03.14F.2.184,03634604830164,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.39,03R10,R-3,LOT 4011 OUT LOT,1-All Public,-,-
"$20,720",03.14F.2.185,03634604739172,HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.26,03R10,R-3,LOT 4012 OUT LOT,1-All Public,-,-
"$18,880",03.14F.2.186,03634604738180,HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.19,03R10,R-3,LOT 4013 SEC H4,1-All Public,-,-
"$20,460",03.14F.2.187,03634604738009,HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.25,03R10,R-3,LOT 4014 SEC H IV,1-All Public,-,-
"$19,400",03.14F.2.225,03634604701807,1206 HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R10,R-3,LOT 4051 SEC H IV,1-All Public,-,-
"$22,840",03.14F.2.263,03634604720761,1141 HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.34,03R10,R-3,LOT 4202 SEC HIV,1-All Public,-,-
"$18,610",03.14F.2.272,03634604722127,2124 BIRCHWOOD BLVD,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOT 4236 SEC H IV,1-All Public,-,-
"$11,020",03.14F.2.315,03634604729495,5111 EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R10,R-3,LOT 4407 OUT LOT,1-All Public,-,-
"$9,830",03.14F.2.316,03634604820533,5111 EAGLE PL,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 4406 OUT LOT,1-All Public,-,-
"$9,830",03.14F.2.317,03634604820579,5111 EAGLE PL,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 4405 OUT LOT,1-All Public,-,-
"$9,830",03.14F.2.318,03634604821604,5111 EAGLE PL,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 4404 OUT LOT,1-All Public,-,-
"$9,830",03.14F.2.319,03634604821741,5111 EAGLE PL,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 4403 OUT LOT,1-All Public,-,-
"$9,830",03.14F.2.321,03634604822824,5111 HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.22,03R10,R-3,LOT 4401 OUT LOT,1-All Public,-,-
"$22,310",03.14F.2.322,03634604820973,5111 HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.32,03R10,R-3,LOT 4101 OUT LOT,1-All Public,-,-
"$21,250",03.14F.2.323,03634604729986,5111 HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.28,03R10,R-3,LOT 4102 OUT LOT,1-All Public,-,-
"$20,460",03.14F.2.324,03634604728994,5111 HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.25,03R10,R-3,LOT 4103 OUT LOT,1-All Public,-,-
"$18,610",03.14F.2.325,03634604728912,5111 HUNTER DR,Coolbaugh,913-Developments,9-Taxable,.18,03R10,R-3,LOT 4104 SEC H4,1-All Public,-,-
"$18,610",03.14F.2.326,03634604727940,5111 HUNTER DR,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOT 4105 SEC HIV,1-All Public,-,-
"$19,140",03.14F.2.35,03634604709029,HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.20,03R10,R-3, ,1-All Public,-,-
"$18,610",03.14F.2.352,03634604724271,4122 INDIAN AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOT 4319 SEC H IV,1-All Public,-,-
"$18,610",03.14F.2.358,03634604723793,3106 SYCAMORE AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOT 4113 SEC H IV,1-All Public,-,-
"$2,100",03.14F.2.36,03634604709116,3113 HOLIDAY DR,Coolbaugh,912-Non-Perk,9-Taxable,.27,03R10,R-3,LOT 2603A SEC H II,1-All Public,-,-
"$18,880",03.14F.2.364,03634604728843,3121 SYCAMORE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.19,03R10,R-3,LOT 4119 SEC H4,1-All Public,-,-
"$20,460",03.14F.2.365,03634604729834,3121 SYCAMORE LN,Coolbaugh,913-Developments,9-Taxable,.25,03R10,R-3,LOT 4120,1-All Public,-,-
"$23,360",03.14F.2.367,03634604729639,3121 SYCAMORE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.37,03R10,R-3,LOT 4501 OUT LOT,1-All Public,-,-
"$19,400",03.14F.2.368,03634604728681,3121 EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.21,03R10,R-3,LOT 4510 OUT LOT,1-All Public,-,-
"$18,610",03.14F.2.370,03634604727522,3121 EAGLE PL,Coolbaugh,911-Undevelped Land,9-Taxable,.18,03R10,R-3,LOT 4508 SEC H IV,1-All Public,-,-
"$20,200",03.14F.2.376,03634604728606,3122 SYCAMORE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.24,03R10,R-3,LOT 4502 SEC H IV,1-All Public,-,-
"$20,990",03.14F.2.377,03634604719984,3122 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2624 SEC H4,1-All Public,-,-
"$20,990",03.14F.2.379,03634604820058,3122 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2626 SEC H4,1-All Public,-,-
"$20,990",03.14F.2.38,03634604708362,3122 HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2605 SEC H II,1-All Public,-,-
"$20,990",03.14F.2.39,03634604708349,3122 HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2606 SEC H II,1-All Public,-,-
"$20,990",03.14F.2.40,03634604708417,3122 HOLIDAY DR,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2607 SEC H II,1-All Public,-,-
"$20,990",03.14F.2.50,03634604717441,211 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.27,03R10,R-3,LOT 2617 SEC H II,1-All Public,-,-
"$21,780",03.14F.2.51,03634604717469,211 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.30,03R10,R-3,LOT 2618 SEC H II,1-All Public,-,-
"$21,250",03.14F.2.52,03634604717596,211 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R10,R-3,LOT 2619 SEC H II,1-All Public,-,-
"$2,100",03.14F.2.55,03634604719709,211 ALTER AVE,Coolbaugh,912-Non-Perk,9-Taxable,.27,03R10,R-3,LOT 2622 SEC H II,1-All Public,-,-
"$20,720",03.14F.2.56,03634604719847,211 ALTER AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.26,03R10,R-3,LOT 2623 SEC H II,1-All Public,-,-
"$22,040",03.14F.2.88,03634604911898,304 SIDNEY AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.31,03R10,R-3,LOT 2403 SEC HII,1-All Public,-,-
"$17,540",03.16.2.31,03633901474449,SEIP DR,Coolbaugh,911-Undevelped Land,9-Taxable,.32,03R01,R-3,LOT 45,8-Electric,-,-
"$20,610",03.16.2.41,03633901456904,NIMITE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.56,03R01,R-3,LOT 77,8-Electric,-,-
"$18,690",03.16.2.42,03633901465066,NIMITE LN,Coolbaugh,911-Undevelped Land,9-Taxable,.41,03R01,R-3,LOT 78,8-Electric,-,-
"$14,590",03.17.1.47,03631904639134,SIXTH ST,Coolbaugh,911-Undevelped Land,9-Taxable,.09,03R01,R-3,LOTS 43 44,-,-,8-Electric
"$8,130",03.17.1.53-6,03631904626922,MONROE AVE,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R01,R-3,LOTS 19 TO 23,-,-,8-Electric
"$17,020",03.17A.1.2,03631902765049,TWP RT 597,Coolbaugh,911-Undevelped Land,9-Taxable,.28,03R01,R-3,LOT 26 BLK B,8-Electric,-,-
"$16,260",03.17A.1.23,03631902756225,RACOON LN,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R01,R-3,B118,8-Electric,-,-
"$16,260",03.17A.1.44,03631902754019,FAWN PATH,Coolbaugh,911-Undevelped Land,9-Taxable,.22,03R01,R-3,B81,8-Electric,-,-
